TimeStamp,RAW_TP9,RAW_FP1,RAW_FP2,RAW_TP10
2015-11-09 07:48:50,866.90466,860.3247,845.5199,832.36005
2015-11-09 07:48:50,853.7448,858.67975,840.58496,834.005
2015-11-09 07:48:50,855.3898,860.3247,838.94,824.13513
2015-11-09 07:48:50,857.0347,857.0347,842.2299,834.005
2015-11-09 07:48:50,847.16486,857.0347,837.295,822.4902
2015-11-09 07:48:50,857.0347,855.3898,842.2299,832.36005
2015-11-09 07:48:50,843.87494,857.0347,838.94,822.4902
2015-11-09 07:48:50,850.45483,855.3898,837.295,827.4251
2015-11-09 07:48:50,853.7448,857.0347,837.295,830.7151
2015-11-09 07:48:50,855.3898,860.3247,834.005,820.8452
2015-11-09 07:48:50,863.6147,857.0347,835.65,834.005
2015-11-09 07:48:50,861.9697,860.3247,832.36005,819.2002
2015-11-09 07:48:50,868.5496,855.3898,837.295,832.36005
2015-11-09 07:48:50,840.58496,853.7448,834.005,819.2002
2015-11-09 07:48:50,850.45483,852.0998,837.295,834.005
2015-11-09 07:48:50,837.295,850.45483,834.005,819.2002
2015-11-09 07:48:50,852.0998,852.0998,840.58496,832.36005
2015-11-09 07:48:50,848.8099,855.3898,838.94,832.36005
2015-11-09 07:48:50,857.0347,855.3898,840.58496,834.005
2015-11-09 07:48:50,861.9697,852.0998,843.87494,842.2299
2015-11-09 07:48:50,860.3247,855.3898,840.58496,825.78015
2015-11-09 07:48:50,861.9697,853.7448,847.16486,843.87494
2015-11-09 07:48:50,848.8099,853.7448,838.94,827.4251
2015-11-09 07:48:50,855.3898,852.0998,842.2299,835.65
2015-11-09 07:48:50,853.7448,850.45483,842.2299,835.65
2015-11-09 07:48:50,857.0347,850.45483,842.2299,832.36005
2015-11-09 07:48:50,855.3898,853.7448,842.2299,834.005
2015-11-09 07:48:50,852.0998,853.7448,840.58496,834.005
2015-11-09 07:48:50,858.67975,853.7448,838.94,834.005
2015-11-09 07:48:50,845.5199,853.7448,838.94,835.65
2015-11-09 07:48:50,853.7448,853.7448,837.295,829.07007
2015-11-09 07:48:50,850.45483,857.0347,827.4251,817.55524
2015-11-09 07:48:50,847.16486,850.45483,832.36005,822.4902
2015-11-09 07:48:50,843.87494,850.45483,837.295,827.4251
2015-11-09 07:48:50,830.7151,850.45483,840.58496,834.005
2015-11-09 07:48:50,838.94,852.0998,843.87494,838.94
2015-11-09 07:48:50,840.58496,853.7448,837.295,825.78015
2015-11-09 07:48:50,848.8099,855.3898,832.36005,824.13513
2015-11-09 07:48:50,843.87494,848.8099,838.94,837.295
2015-11-09 07:48:50,837.295,853.7448,840.58496,825.78015
2015-11-09 07:48:50,845.5199,853.7448,838.94,832.36005
2015-11-09 07:48:50,850.45483,857.0347,842.2299,827.4251
2015-11-09 07:48:50,853.7448,857.0347,845.5199,837.295
2015-11-09 07:48:50,838.94,853.7448,835.65,822.4902
2015-11-09 07:48:50,853.7448,848.8099,840.58496,830.7151
2015-11-09 07:48:50,857.0347,850.45483,840.58496,830.7151
2015-11-09 07:48:50,852.0998,853.7448,842.2299,825.78015
2015-11-09 07:48:50,847.16486,857.0347,840.58496,820.8452
2015-11-09 07:48:51,842.2299,853.7448,842.2299,825.78015
2015-11-09 07:48:51,837.295,850.45483,838.94,819.2002
2015-11-09 07:48:51,847.16486,852.0998,840.58496,817.55524
2015-11-09 07:48:51,845.5199,850.45483,843.87494,827.4251
2015-11-09 07:48:51,840.58496,852.0998,840.58496,815.9103
2015-11-09 07:48:51,845.5199,852.0998,845.5199,819.2002
2015-11-09 07:48:51,838.94,853.7448,840.58496,820.8452
2015-11-09 07:48:51,843.87494,855.3898,845.5199,824.13513
2015-11-09 07:48:51,840.58496,863.6147,843.87494,814.26526
2015-11-09 07:48:51,847.16486,861.9697,847.16486,824.13513
2015-11-09 07:48:51,852.0998,858.67975,845.5199,822.4902
2015-11-09 07:48:51,857.0347,858.67975,847.16486,824.13513
2015-11-09 07:48:51,847.16486,855.3898,845.5199,822.4902
2015-11-09 07:48:51,855.3898,858.67975,847.16486,827.4251
2015-11-09 07:48:51,855.3898,858.67975,850.45483,825.78015
2015-11-09 07:48:51,858.67975,857.0347,850.45483,834.005
2015-11-09 07:48:51,863.6147,863.6147,855.3898,834.005
2015-11-09 07:48:51,855.3898,868.5496,852.0998,825.78015
2015-11-09 07:48:51,857.0347,871.8396,855.3898,837.295
2015-11-09 07:48:51,857.0347,868.5496,855.3898,837.295
2015-11-09 07:48:51,852.0998,861.9697,857.0347,842.2299
2015-11-09 07:48:51,852.0998,866.90466,853.7448,835.65
2015-11-09 07:48:51,860.3247,866.90466,853.7448,842.2299
2015-11-09 07:48:51,863.6147,871.8396,853.7448,832.36005
2015-11-09 07:48:51,861.9697,866.90466,855.3898,837.295
2015-11-09 07:48:51,857.0347,860.3247,853.7448,835.65
2015-11-09 07:48:51,855.3898,868.5496,852.0998,840.58496
2015-11-09 07:48:51,857.0347,865.25964,848.8099,835.65
2015-11-09 07:48:51,845.5199,863.6147,848.8099,842.2299
2015-11-09 07:48:51,838.94,855.3898,848.8099,838.94
2015-11-09 07:48:51,853.7448,857.0347,840.58496,832.36005
2015-11-09 07:48:51,860.3247,865.25964,840.58496,842.2299
2015-11-09 07:48:51,838.94,857.0347,845.5199,814.26526
2015-11-09 07:48:51,824.13513,860.3247,838.94,796.1705
2015-11-09 07:48:51,807.68536,852.0998,840.58496,794.5255
2015-11-09 07:48:51,789.5906,847.16486,834.005,773.14075
2015-11-09 07:48:51,783.0106,852.0998,829.07007,761.6259
2015-11-09 07:48:51,776.4307,850.45483,834.005,753.401
2015-11-09 07:48:51,768.2058,843.87494,829.07007,743.5311
2015-11-09 07:48:51,755.04596,845.5199,829.07007,735.3062
2015-11-09 07:48:51,761.6259,843.87494,827.4251,740.24115
2015-11-09 07:48:51,753.401,837.295,827.4251,730.3713
2015-11-09 07:48:51,758.33594,843.87494,825.78015,718.8564
2015-11-09 07:48:51,776.4307,845.5199,825.78015,733.66125
2015-11-09 07:48:51,774.78577,845.5199,832.36005,735.3062
2015-11-09 07:48:51,779.7207,847.16486,829.07007,751.75604
2015-11-09 07:48:51,774.78577,850.45483,827.4251,740.24115
2015-11-09 07:48:51,796.1705,848.8099,830.7151,753.401
2015-11-09 07:48:51,797.8155,845.5199,829.07007,763.2709
2015-11-09 07:48:51,802.7504,847.16486,830.7151,763.2709
2015-11-09 07:48:51,814.26526,848.8099,832.36005,774.78577
2015-11-09 07:48:51,802.7504,852.0998,834.005,778.0757
2015-11-09 07:48:51,797.8155,848.8099,827.4251,773.14075
2015-11-09 07:48:51,806.04034,847.16486,834.005,779.7207
2015-11-09 07:48:51,799.46045,850.45483,832.36005,783.0106
2015-11-09 07:48:51,809.3303,848.8099,830.7151,789.5906
2015-11-09 07:48:51,822.4902,848.8099,837.295,789.5906
2015-11-09 07:48:51,819.2002,853.7448,834.005,786.3006
2015-11-09 07:48:51,829.07007,855.3898,835.65,786.3006
2015-11-09 07:48:51,827.4251,852.0998,835.65,787.94556
2015-11-09 07:48:51,824.13513,853.7448,835.65,809.3303
2015-11-09 07:48:51,820.8452,848.8099,837.295,796.1705
2015-11-09 07:48:51,830.7151,847.16486,842.2299,799.46045
2015-11-09 07:48:51,837.295,853.7448,840.58496,799.46045
2015-11-09 07:48:51,845.5199,852.0998,843.87494,810.9753
2015-11-09 07:48:51,853.7448,852.0998,842.2299,815.9103
